step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,29605.408803,-58820.282042,-29214.873239,0.000000e+00,-23.305724,95.391804,-127.677509,23.283,0.666,0.008
2,0.002000,29605.408747,-58819.545770,-29214.137024,2.520001e-05,-23.305607,95.391736,-127.677675,5.432,0.197,4.826
3,0.003000,29605.408690,-58818.692688,-29213.283998,5.439834e-05,-23.305489,95.391669,-127.677841,3.566,0.243,0.348
4,0.004000,29605.408634,-58817.723209,-29212.314575,8.758085e-05,-23.305372,95.391601,-127.678006,0.748,0.203,0.044
5,0.005000,29605.408577,-58816.637784,-29211.229207,1.247321e-04,-23.305254,95.391534,-127.678172,1.260,0.427,0.048
6,0.006000,29605.408520,-58815.436904,-29210.028384,1.658352e-04,-23.305137,95.391467,-127.678338,1.079,0.872,0.061
7,0.007000,29605.408463,-58814.121049,-29208.712586,2.108738e-04,-23.305019,95.391399,-127.678504,0.827,0.205,0.095
8,0.008000,29605.408406,-58812.690683,-29207.282277,2.598321e-04,-23.304901,95.391332,-127.678669,0.749,0.479,0.057
9,0.009000,29605.408349,-58811.146248,-29205.737898,3.126948e-04,-23.304783,95.391264,-127.678836,0.663,0.785,0.042
10,0.010000,29605.408293,-58809.488136,-29204.079843,3.694487e-04,-23.304665,95.391197,-127.679002,0.664,0.168,0.085
11,0.011000,29605.408236,-58807.716674,-29202.308438,4.300823e-04,-23.304547,95.391130,-127.679168,0.729,0.189,0.048
12,0.012000,29605.408177,-58805.832121,-29200.423944,4.945869e-04,-23.304429,95.391062,-127.679335,0.630,0.137,0.043
13,0.013000,29605.408115,-58803.834655,-29198.426539,5.629564e-04,-23.304312,95.390995,-127.679504,0.692,0.406,0.057
14,0.014000,29605.408054,-58801.724374,-29196.316320,6.351874e-04,-23.304194,95.390928,-127.679672,0.751,0.148,0.054
15,0.015000,29605.407993,-58799.501287,-29194.093294,7.112797e-04,-23.304076,95.390860,-127.679840,0.625,0.249,0.039
16,0.016000,29605.407932,-58797.165331,-29191.757399,7.912353e-04,-23.303958,95.390793,-127.680008,0.638,0.158,0.051
17,0.017000,29605.407871,-58794.716378,-29189.308507,8.750588e-04,-23.303840,95.390725,-127.680176,0.598,0.353,0.041
18,0.018000,29605.407809,-58792.154246,-29186.746437,9.627562e-04,-23.303723,95.390658,-127.680345,0.621,0.176,0.031
19,0.019000,29605.407748,-58789.478714,-29184.070966,1.054335e-03,-23.303605,95.390591,-127.680513,0.645,0.145,0.105
20,0.020000,29605.407688,-58786.689548,-29181.281861,1.149804e-03,-23.303487,95.390523,-127.680682,0.660,0.166,0.051
21,0.021000,29605.407628,-58783.786536,-29178.378908,1.249170e-03,-23.303370,95.390456,-127.680850,0.695,0.251,0.046
22,0.022000,29605.407568,-58780.769476,-29175.361908,1.352439e-03,-23.303252,95.390389,-127.681019,0.588,0.284,0.041
23,0.023000,29605.407509,-58777.638237,-29172.230728,1.459616e-03,-23.303134,95.390321,-127.681188,0.577,0.136,0.041
24,0.024000,29605.407450,-58774.392747,-29168.985296,1.570705e-03,-23.303017,95.390254,-127.681358,0.706,0.163,0.051
25,0.025000,29605.407391,-58771.033033,-29165.625642,1.685703e-03,-23.302899,95.390186,-127.681527,0.621,0.158,0.042
26,0.026000,29605.407332,-58767.559220,-29162.151887,1.804607e-03,-23.302781,95.390119,-127.681696,0.593,0.141,0.053
27,0.027000,29605.407273,-58763.971535,-29158.564261,1.927408e-03,-23.302664,95.390051,-127.681866,0.844,0.136,0.039
28,0.028000,29605.407214,-58760.270321,-29154.863107,2.054095e-03,-23.302546,95.389983,-127.682035,0.600,0.126,0.042
29,0.029000,29605.407155,-58756.456004,-29151.048849,2.184654e-03,-23.302428,95.389916,-127.682205,0.663,0.153,0.042
30,0.030000,29605.407096,-58752.529095,-29147.122000,2.319067e-03,-23.302311,95.389848,-127.682374,0.706,0.172,0.054
31,0.031000,29605.407036,-58748.490190,-29143.083154,2.457313e-03,-23.302193,95.389780,-127.682544,0.592,0.125,0.041
32,0.032000,29605.406975,-58744.339935,-29138.932961,2.599370e-03,-23.302076,95.389713,-127.682714,1.714,0.387,0.092
33,0.033000,29605.406914,-58740.079028,-29134.672114,2.745216e-03,-23.301958,95.389645,-127.682884,0.690,0.175,0.049
34,0.034000,29605.406853,-58735.708187,-29130.301334,2.894824e-03,-23.301840,95.389577,-127.683054,0.595,0.249,0.041
35,0.035000,29605.406792,-58731.228156,-29125.821364,3.048169e-03,-23.301723,95.389509,-127.683224,0.621,0.165,0.043
36,0.036000,29605.406731,-58726.639693,-29121.232962,3.205226e-03,-23.301605,95.389441,-127.683394,0.615,0.151,0.040
37,0.037000,29605.406669,-58721.943562,-29116.536893,3.365969e-03,-23.301487,95.389374,-127.683564,0.730,0.158,0.043
38,0.038000,29605.406608,-58717.140540,-29111.733932,3.530370e-03,-23.301368,95.389306,-127.683734,0.689,0.163,0.048
39,0.039000,29605.406546,-58712.231418,-29106.824872,3.698403e-03,-23.301250,95.389238,-127.683904,0.599,0.152,0.045
40,0.040000,29605.406484,-58707.216993,-29101.810509,3.870040e-03,-23.301131,95.389171,-127.684074,0.720,0.217,0.047
41,0.041000,29605.406422,-58702.098089,-29096.691666,4.045254e-03,-23.301013,95.389103,-127.684244,0.610,0.124,0.040
42,0.042000,29605.406361,-58696.875549,-29091.469188,4.224015e-03,-23.300894,95.389036,-127.684414,0.630,0.211,0.044
43,0.043000,29605.406299,-58691.550240,-29086.143941,4.406293e-03,-23.300775,95.388969,-127.684583,0.589,0.125,0.043
44,0.044000,29605.406237,-58686.123062,-29080.716825,4.592059e-03,-23.300657,95.388901,-127.684753,0.920,0.213,0.064
45,0.045000,29605.406175,-58680.594931,-29075.188755,4.781280e-03,-23.300538,95.388834,-127.684923,0.649,0.154,0.047
46,0.046000,29605.406113,-58674.966769,-29069.560656,4.973925e-03,-23.300420,95.388766,-127.685093,0.599,0.122,0.043
47,0.047000,29605.406051,-58669.239524,-29063.833473,5.169961e-03,-23.300301,95.388699,-127.685263,0.650,0.197,0.038
48,0.048000,29605.405989,-58663.414131,-29058.008141,5.369357e-03,-23.300183,95.388632,-127.685433,0.685,0.158,0.048
49,0.049000,29605.405927,-58657.491510,-29052.085583,5.572082e-03,-23.300064,95.388564,-127.685603,0.803,0.266,0.044
50,0.050000,29605.405866,-58651.472552,-29046.066686,5.778103e-03,-23.299946,95.388497,-127.685773,0.575,0.128,0.040
51,0.051000,29605.405804,-58645.358095,-29039.952291,5.987394e-03,-23.299827,95.388430,-127.685943,0.967,0.189,0.051
52,0.052000,29605.405742,-58639.148915,-29033.743174,6.199926e-03,-23.299708,95.388362,-127.686113,0.655,0.143,0.072
53,0.053000,29605.405680,-58632.845708,-29027.440028,6.415678e-03,-23.299590,95.388295,-127.686283,0.643,0.149,0.050
54,0.054000,29605.405617,-58626.449082,-29021.043465,6.634627e-03,-23.299471,95.388227,-127.686453,0.651,0.162,0.354
55,0.055000,29605.405554,-58619.959539,-29014.553985,6.856756e-03,-23.299352,95.388159,-127.686623,0.653,0.214,0.045
56,0.056000,29605.405492,-58613.377488,-29007.971996,7.082052e-03,-23.299234,95.388091,-127.686793,0.665,0.383,0.043
57,0.057000,29605.405430,-58606.703221,-29001.297791,7.310504e-03,-23.299115,95.388024,-127.686963,0.682,0.152,0.043
58,0.058000,29605.405368,-58599.936922,-28994.531554,7.542106e-03,-23.298996,95.387956,-127.687134,0.753,0.128,0.043
59,0.059000,29605.405307,-58593.078680,-28987.673373,7.776856e-03,-23.298877,95.387888,-127.687304,1.079,0.453,0.147
60,0.060000,29605.405246,-58586.128496,-28980.723251,8.014753e-03,-23.298758,95.387819,-127.687475,0.678,0.177,0.043
61,0.061000,29605.405184,-58579.086300,-28973.681116,8.255799e-03,-23.298639,95.387751,-127.687645,0.865,0.155,0.047
62,0.062000,29605.405123,-58571.951958,-28966.546835,8.499999e-03,-23.298520,95.387682,-127.687816,0.827,0.357,0.053
63,0.063000,29605.405060,-58564.725292,-28959.320232,8.747360e-03,-23.298400,95.387614,-127.687987,0.719,0.397,0.051
64,0.064000,29605.404997,-58557.406088,-28952.001091,8.997888e-03,-23.298280,95.387545,-127.688158,0.720,0.184,0.072
65,0.065000,29605.404935,-58549.994109,-28944.589174,9.251591e-03,-23.298161,95.387477,-127.688329,0.668,0.175,0.038
66,0.066000,29605.404872,-58542.489115,-28937.084242,9.508479e-03,-23.298041,95.387408,-127.688500,0.691,0.343,0.038
